year,生鮮食品を除く総合,穀類,魚介類,肉類,乳卵類,野菜・海藻,果物,油脂・調味料,菓子類,調理食品,飲料,酒類,外食,家賃,光熱・水道,家事用消耗品,洋服,医薬品・健康保持用摂取品（風邪薬、ビタミン剤など）,保健医療用品・器具（紙おむつやマスクなど）,診療代,鉄道運賃（ＪＲ）,通信料（携帯電話）,書籍,教養娯楽サービス（旅行・宿泊）,入場・観覧・ゲーム代（映画、演劇、サッカー観戦、テーマパークなど）,化粧品,たばこ
1970年1月,30.5 ,32.9 ,20.4 ,34.0 ,48.4 ,23.4 ,27.5 ,45.3 ,25.4 ,19.9 ,51.8 ,42.5 ,21.7 ,27.6 ,30.2 ,65.2 ,25.7 ,48.2 ,49.2 ,29.7 ,25.1 ,,16.4 ,23.2 ,34.1 ,62.8 ,20.2 
1970年2月,30.6 ,33.0 ,20.0 ,34.0 ,48.2 ,24.3 ,28.6 ,45.5 ,25.6 ,20.6 ,51.8 ,42.5 ,21.7 ,27.7 ,30.2 ,65.4 ,24.9 ,48.2 ,49.2 ,32.6 ,25.1 ,,16.4 ,23.2 ,34.0 ,62.9 ,20.2 
1970年3月,30.6 ,33.0 ,20.4 ,33.8 ,47.1 ,25.5 ,31.1 ,45.5 ,25.8 ,21.6 ,51.9 ,42.5 ,22.0 ,27.9 ,30.3 ,65.6 ,25.0 ,48.3 ,49.4 ,32.6 ,25.1 ,,16.4 ,23.2 ,34.0 ,63.3 ,20.2 
1970年4月,30.9 ,33.1 ,20.1 ,34.0 ,45.8 ,26.7 ,31.6 ,45.8 ,25.9 ,23.5 ,52.0 ,42.5 ,22.2 ,28.2 ,30.4 ,65.6 ,26.1 ,48.3 ,49.8 ,32.6 ,25.1 ,,16.4 ,24.1 ,34.2 ,63.7 ,20.2 
1970年5月,31.0 ,33.2 ,19.7 ,34.2 ,43.5 ,25.4 ,28.1 ,46.1 ,26.0 ,24.4 ,52.4 ,42.5 ,22.4 ,28.4 ,30.3 ,65.7 ,27.3 ,48.3 ,50.0 ,32.6 ,25.1 ,,16.4 ,24.1 ,34.3 ,64.4 ,20.2 
1970年6月,31.1 ,33.3 ,19.4 ,34.1 ,43.1 ,22.1 ,32.9 ,46.6 ,26.2 ,24.1 ,52.7 ,42.6 ,22.5 ,28.6 ,30.3 ,65.8 ,27.3 ,48.4 ,50.4 ,32.6 ,25.1 ,,16.4 ,24.1 ,34.3 ,64.6 ,20.2 
1970年7月,31.2 ,33.5 ,20.2 ,34.4 ,43.3 ,20.8 ,30.8 ,46.9 ,26.3 ,24.4 ,52.9 ,42.6 ,22.6 ,28.9 ,30.3 ,65.8 ,28.4 ,48.5 ,51.0 ,32.9 ,25.1 ,,16.4 ,24.2 ,34.3 ,64.9 ,20.2 
1970年8月,31.2 ,33.6 ,20.7 ,34.5 ,43.1 ,20.6 ,25.2 ,47.3 ,26.4 ,24.7 ,53.0 ,42.6 ,22.7 ,29.1 ,30.3 ,66.0 ,25.7 ,48.5 ,51.7 ,32.7 ,25.1 ,,16.4 ,24.2 ,34.3 ,65.1 ,20.2 
1970年9月,31.5 ,33.8 ,20.9 ,34.5 ,44.6 ,22.4 ,28.9 ,48.1 ,26.6 ,24.7 ,53.4 ,42.9 ,22.8 ,29.2 ,30.4 ,66.2 ,28.2 ,48.7 ,52.2 ,32.7 ,25.1 ,,16.4 ,24.5 ,34.3 ,65.2 ,20.2 
1970年10月,31.9 ,33.9 ,21.0 ,34.6 ,47.5 ,26.1 ,28.1 ,48.9 ,26.9 ,24.4 ,53.6 ,44.9 ,23.2 ,29.4 ,30.5 ,66.6 ,29.1 ,49.0 ,52.8 ,32.7 ,25.1 ,,16.4 ,24.5 ,34.3 ,65.3 ,20.2 
